a;b;c;result
2;144;34;둔각
17;131;32;둔각
115;48;17;둔각
10;164;6;둔각
32;8;140;둔각
155;16;9;둔각
98;25;57;둔각
126;19;35;둔각
95;30;55;둔각
84;89;7;예각
22;16;142;둔각
3;20;157;둔각
53;99;28;둔각
16;123;41;둔각
58;50;72;예각
16;116;48;둔각
12;102;66;둔각
166;5;9;둔각
61;113;6;둔각
97;47;36;둔각
77;35;68;예각
44;76;60;예각
13;149;18;둔각
34;46;100;둔각
150;29;1;둔각
90;46;44;직각
65;44;71;예각
75;80;25;예각
2;129;49;둔각
107;41;32;둔각
32;103;45;둔각
136;29;15;둔각
45;114;21;둔각
2;149;29;둔각
101;39;40;둔각
21;108;51;둔각
9;14;157;둔각
73;20;87;예각
20;22;138;둔각
17;111;52;둔각
100;69;11;둔각
141;16;23;둔각
41;99;40;둔각
84;41;55;예각
38;63;79;예각
5;37;138;둔각
39;74;67;예각
22;70;88;예각
79;45;56;예각
2;88;90;직각
11;45;124;둔각
138;5;37;둔각
20;96;64;둔각
42;110;28;둔각
1;38;141;둔각
40;116;24;둔각
47;19;114;둔각
52;61;67;예각
74;2;104;둔각
29;28;123;둔각
154;6;20;둔각
94;61;25;둔각
103;71;6;둔각
87;41;52;예각
144;12;24;둔각
39;84;57;예각
23;17;140;둔각
15;127;38;둔각
49;32;99;둔각
59;57;64;예각
41;46;93;둔각
17;53;110;둔각
115;56;9;둔각
32;109;39;둔각
38;51;91;둔각
94;84;2;둔각
6;73;101;둔각
41;11;128;둔각
69;37;74;예각
137;22;21;둔각
92;30;58;둔각
70;4;106;둔각
27;146;7;둔각
84;51;45;예각
60;20;100;둔각
32;85;63;예각
27;16;137;둔각
110;42;28;둔각
65;99;16;둔각
9;63;108;둔각
52;81;47;예각
22;132;26;둔각
47;33;100;둔각
33;75;72;예각
43;27;110;둔각
60;69;51;예각
6;125;49;둔각
3;101;76;둔각
4;87;89;예각
79;78;23;예각
14;145;21;둔각
33;28;119;둔각
67;9;104;둔각
96;4;80;둔각
19;2;159;둔각
172;2;6;둔각
131;36;13;둔각
42;95;43;둔각
45;52;83;예각
115;19;46;둔각
53;86;41;예각
71;98;11;둔각
2;66;112;둔각
58;51;71;예각
63;48;69;예각
107;24;49;둔각
80;4;96;둔각
157;7;16;둔각
28;87;65;예각
30;34;116;둔각
17;114;49;둔각
146;24;10;둔각
109;5;66;둔각
111;10;59;둔각
20;106;54;둔각
46;92;42;둔각
123;23;34;둔각
82;16;82;예각
20;7;153;둔각
146;14;20;둔각
93;1;86;둔각
97;44;39;둔각
31;96;53;둔각
42;6;132;둔각
25;128;27;둔각
63;8;109;둔각
5;131;44;둔각
32;28;120;둔각
73;88;19;예각
32;131;17;둔각
10;34;136;둔각
147;27;6;둔각
51;48;81;예각
147;20;13;둔각
48;61;71;예각
81;86;13;예각
109;45;26;둔각
113;11;56;둔각
58;117;5;둔각
87;21;72;예각
1;172;7;둔각
12;131;37;둔각
77;22;81;예각
85;86;9;예각
110;2;68;둔각
9;13;158;둔각
51;3;126;둔각
104;27;49;둔각
72;14;94;둔각
36;86;58;예각
29;84;67;예각
113;55;12;둔각
43;109;28;둔각
75;22;83;예각
65;14;101;둔각
142;30;8;둔각
104;64;12;둔각
39;101;40;둔각
27;25;128;둔각
14;109;57;둔각
101;2;77;둔각
37;60;83;예각
2;79;99;둔각
5;150;25;둔각
15;30;135;둔각
51;113;16;둔각
25;111;44;둔각
100;27;53;둔각
81;19;80;예각
52;27;101;둔각
2;37;141;둔각
78;3;99;둔각
74;38;68;예각
12;25;143;둔각
80;24;76;예각
56;70;54;예각
108;22;50;둔각
7;171;2;둔각
148;23;9;둔각
88;50;42;예각
47;70;63;예각
24;87;69;예각
143;5;32;둔각
45;105;30;둔각
121;56;3;둔각
145;27;8;둔각
15;142;23;둔각
43;88;49;예각
29;90;61;직각
10;2;168;둔각
72;31;77;예각
9;137;34;둔각
38;77;65;예각
40;82;58;예각
18;113;49;둔각
29;149;2;둔각
127;46;7;둔각
159;8;13;둔각
88;81;11;예각
7;101;72;둔각
141;6;33;둔각
50;68;62;예각
70;34;76;예각
75;29;76;예각
144;13;23;둔각
102;69;9;둔각
23;114;43;둔각
4;158;18;둔각
26;21;133;둔각
131;38;11;둔각
116;31;33;둔각
53;4;123;둔각
86;7;87;예각
39;22;119;둔각
16;162;2;둔각
92;71;17;둔각
84;14;82;예각
41;24;115;둔각
29;34;117;둔각
101;68;11;둔각
74;68;38;예각
55;102;23;둔각
90;19;71;직각
83;40;57;예각
56;39;85;예각
110;30;40;둔각
70;35;75;예각
9;140;31;둔각
34;27;119;둔각
139;27;14;둔각
46;62;72;예각
67;100;13;둔각
31;24;125;둔각
58;12;110;둔각
7;56;117;둔각
38;78;64;예각
11;80;89;예각
80;67;33;예각
20;114;46;둔각
107;40;33;둔각
33;68;79;예각
92;35;53;둔각
32;15;133;둔각
13;33;134;둔각
20;32;128;둔각
25;43;112;둔각
115;2;63;둔각
25;74;81;예각
81;36;63;예각
85;94;1;둔각
27;147;6;둔각
21;87;72;예각
73;45;62;예각
80;74;26;예각
70;92;18;둔각
55;84;41;예각
24;6;150;둔각
16;139;25;둔각
6;129;45;둔각
12;47;121;둔각
138;21;21;둔각
66;25;89;예각
53;50;77;예각
4;61;115;둔각
77;24;79;예각
144;33;3;둔각
2;143;35;둔각
121;32;27;둔각
40;136;4;둔각
59;93;28;둔각
15;19;146;둔각
47;32;101;둔각
50;79;51;예각
58;93;29;둔각
66;1;113;둔각
134;6;40;둔각
64;26;90;직각
23;98;59;둔각
75;50;55;예각
12;13;155;둔각
80;39;61;예각
140;25;15;둔각
53;60;67;예각
6;96;78;둔각
38;37;105;둔각
75;10;95;둔각
75;83;22;예각
48;75;57;예각
34;41;105;둔각
33;43;104;둔각
70;14;96;둔각
9;79;92;둔각
73;103;4;둔각
34;55;91;둔각
9;12;159;둔각
138;10;32;둔각
102;52;26;둔각
118;25;37;둔각
23;99;58;둔각
105;72;3;둔각
11;143;26;둔각
20;30;130;둔각
126;29;25;둔각
41;80;59;예각
22;46;112;둔각
40;66;74;예각
16;39;125;둔각
19;79;82;예각
166;3;11;둔각
60;65;55;예각
17;65;98;둔각
6;164;10;둔각
48;92;40;둔각
170;2;8;둔각
18;67;95;둔각
138;9;33;둔각
115;14;51;둔각
54;36;90;직각
6;4;170;둔각
120;17;43;둔각
2;81;97;둔각
137;4;39;둔각
28;129;23;둔각
66;81;33;예각
60;16;104;둔각
44;31;105;둔각
58;15;107;둔각
150;22;8;둔각
78;98;4;둔각
58;54;68;예각
137;38;5;둔각
73;70;37;예각
107;46;27;둔각
20;142;18;둔각
24;92;64;둔각
69;58;53;예각
140;10;30;둔각
164;5;11;둔각
29;55;96;둔각
77;69;34;예각
39;72;69;예각
90;31;59;직각
22;109;49;둔각
7;73;100;둔각
52;91;37;둔각
78;18;84;예각
57;82;41;예각
70;55;55;예각
20;113;47;둔각
60;32;88;예각
80;5;95;둔각
73;55;52;예각
57;70;53;예각
28;104;48;둔각
24;4;152;둔각
165;4;11;둔각
39;98;43;둔각
48;63;69;예각
2;24;154;둔각
120;3;57;둔각
8;47;125;둔각
14;8;158;둔각
99;18;63;둔각
56;114;10;둔각
120;8;52;둔각
54;64;62;예각
6;150;24;둔각
82;26;72;예각
61;73;46;예각
75;89;16;예각
103;52;25;둔각
40;14;126;둔각
53;79;48;예각
18;64;98;둔각
10;85;85;예각
18;13;149;둔각
31;3;146;둔각
59;49;72;예각
57;26;97;둔각
44;118;18;둔각
155;1;24;둔각
115;58;7;둔각
41;9;130;둔각
93;80;7;둔각
103;20;57;둔각
101;70;9;둔각
6;71;103;둔각
4;84;92;둔각
10;20;150;둔각
22;120;38;둔각
105;47;28;둔각
119;53;8;둔각
54;110;16;둔각
134;13;33;둔각
39;113;28;둔각
15;98;67;둔각
8;56;116;둔각
146;29;5;둔각
124;38;18;둔각
79;16;85;예각
13;108;59;둔각
35;127;18;둔각
105;40;35;둔각
48;103;29;둔각
76;42;62;예각
42;133;5;둔각
120;38;22;둔각
20;119;41;둔각
51;5;124;둔각
76;89;15;예각
4;25;151;둔각
39;125;16;둔각
55;88;37;예각
3;24;153;둔각
11;90;79;직각
96;5;79;둔각
15;95;70;둔각
38;31;111;둔각
41;105;34;둔각
2;52;126;둔각
44;113;23;둔각
35;89;56;예각
167;7;6;둔각
37;45;98;둔각
47;91;42;둔각
110;39;31;둔각
3;117;60;둔각
102;13;65;둔각
59;89;32;예각
86;21;73;예각
20;89;71;예각
39;116;25;둔각
53;7;120;둔각
31;14;135;둔각
29;109;42;둔각
112;38;30;둔각
64;40;76;예각
143;1;36;둔각
29;145;6;둔각
102;30;48;둔각
92;66;22;둔각
2;108;70;둔각
46;74;60;예각
48;98;34;둔각
40;11;129;둔각
105;16;59;둔각
56;87;37;예각
125;53;2;둔각
53;31;96;둔각
122;9;49;둔각
17;33;130;둔각
28;29;123;둔각
23;112;45;둔각
33;123;24;둔각
9;32;139;둔각
89;56;35;예각
85;28;67;예각
126;15;39;둔각
23;126;31;둔각
35;50;95;둔각
20;111;49;둔각
60;66;54;예각
155;5;20;둔각
96;18;66;둔각
80;17;83;예각
106;46;28;둔각
88;80;12;예각
137;12;31;둔각
20;17;143;둔각
33;22;125;둔각
132;39;9;둔각
24;90;66;직각
75;46;59;예각
5;155;20;둔각
23;136;21;둔각
113;33;34;둔각
43;32;105;둔각
25;3;152;둔각
64;69;47;예각
97;64;19;둔각
104;52;24;둔각
39;44;97;둔각
57;99;24;둔각
138;40;2;둔각
127;29;24;둔각
110;69;1;둔각
35;58;87;예각
14;157;9;둔각
59;88;33;예각
131;24;25;둔각
50;5;125;둔각
2;45;133;둔각
48;117;15;둔각
65;111;4;둔각
50;105;25;둔각
60;51;69;예각
77;50;53;예각
97;82;1;둔각
127;50;3;둔각
112;17;51;둔각
74;8;98;둔각
82;59;39;예각
17;1;162;둔각
164;15;1;둔각
104;68;8;둔각
5;10;165;둔각
154;9;17;둔각
99;44;37;둔각
86;20;74;예각
143;26;11;둔각
54;120;6;둔각
106;30;44;둔각
82;25;73;예각
3;64;113;둔각
126;30;24;둔각
3;99;78;둔각
127;49;4;둔각
105;50;25;둔각
74;55;51;예각
46;10;124;둔각
60;14;106;둔각
27;138;15;둔각
140;18;22;둔각
10;109;61;둔각
41;37;102;둔각
51;81;48;예각
76;59;45;예각
90;56;34;직각
119;47;14;둔각
67;104;9;둔각
25;28;127;둔각
2;165;13;둔각
98;19;63;둔각
41;59;80;예각
78;81;21;예각
52;20;108;둔각
11;126;43;둔각
92;38;50;둔각
8;134;38;둔각
76;32;72;예각
98;39;43;둔각
35;41;104;둔각
25;66;89;예각
2;65;113;둔각
61;98;21;둔각
15;65;100;둔각
116;6;58;둔각
22;55;103;둔각
156;19;5;둔각
39;23;118;둔각
23;4;153;둔각
141;4;35;둔각
54;40;86;예각
81;68;31;예각
124;45;11;둔각
67;58;55;예각
87;64;29;예각
114;7;59;둔각
52;5;123;둔각
132;20;28;둔각
139;29;12;둔각
54;70;56;예각
77;6;97;둔각
45;51;84;예각
24;109;47;둔각
157;21;2;둔각
3;37;140;둔각
88;8;84;예각
67;107;6;둔각
81;67;32;예각
109;32;39;둔각
145;4;31;둔각
117;6;57;둔각
107;59;14;둔각
55;70;55;예각
100;13;67;둔각
16;80;84;예각
120;39;21;둔각
6;158;16;둔각
88;24;68;예각
151;14;15;둔각
50;7;123;둔각
40;105;35;둔각
108;23;49;둔각
37;135;8;둔각
83;63;34;예각
88;87;5;예각
16;150;14;둔각
23;88;69;예각
29;103;48;둔각
73;17;90;직각
25;139;16;둔각
5;67;108;둔각
31;139;10;둔각
29;102;49;둔각
100;9;71;둔각
23;142;15;둔각
32;123;25;둔각
148;6;26;둔각
88;59;33;예각
159;3;18;둔각
100;38;42;둔각
111;32;37;둔각
34;119;27;둔각
16;11;153;둔각
79;54;47;예각
4;40;136;둔각
29;105;46;둔각
50;61;69;예각
60;75;45;예각
65;76;39;예각
135;26;19;둔각
14;3;163;둔각
2;89;89;예각
12;162;6;둔각
8;35;137;둔각
14;14;152;둔각
16;36;128;둔각
172;7;1;둔각
149;5;26;둔각
140;6;34;둔각
17;28;135;둔각
18;40;122;둔각
13;31;136;둔각
108;47;25;둔각
1;65;114;둔각
83;26;71;예각
94;1;85;둔각
3;32;145;둔각
30;99;51;둔각
75;39;66;예각
21;70;89;예각
2;128;50;둔각
77;21;82;예각
24;96;60;둔각
93;2;85;둔각
11;107;62;둔각
56;92;32;둔각
80;57;43;예각
70;16;94;둔각
122;34;24;둔각
113;22;45;둔각
64;103;13;둔각
48;43;89;예각
85;8;87;예각
6;52;122;둔각
69;90;21;직각
1;128;51;둔각
35;61;84;예각
158;14;8;둔각
42;81;57;예각
8;154;18;둔각
93;8;79;둔각
37;6;137;둔각
93;29;58;둔각
109;61;10;둔각
17;104;59;둔각
50;75;55;예각
84;50;46;예각
47;111;22;둔각
57;57;66;예각
119;44;17;둔각
18;98;64;둔각
99;5;76;둔각
14;96;70;둔각
71;48;61;예각
62;78;40;예각
76;28;76;예각
2;5;173;둔각
31;133;16;둔각
13;162;5;둔각
102;10;68;둔각
1;150;29;둔각
74;15;91;둔각
75;9;96;둔각
117;30;33;둔각
91;50;39;둔각
9;77;94;둔각
10;96;74;둔각
25;133;22;둔각
27;67;86;예각
20;108;52;둔각
117;15;48;둔각
78;96;6;둔각
36;142;2;둔각
34;103;43;둔각
25;69;86;예각
36;95;49;둔각
10;161;9;둔각
102;29;49;둔각
34;76;70;예각
49;51;80;예각
33;116;31;둔각
93;77;10;둔각
102;12;66;둔각
85;26;69;예각
34;140;6;둔각
37;23;120;둔각
1;40;139;둔각
84;1;95;둔각
14;1;165;둔각
87;85;8;예각
72;11;97;둔각
117;55;8;둔각
5;163;12;둔각
49;97;34;둔각
156;7;17;둔각
19;45;116;둔각
43;95;42;둔각
74;7;99;둔각
60;82;38;예각
60;113;7;둔각
53;81;46;예각
86;76;18;예각
15;2;163;둔각
18;20;142;둔각
72;42;66;예각
3;39;138;둔각
78;23;79;예각
5;100;75;둔각
58;66;56;예각
47;17;116;둔각
16;101;63;둔각
58;21;101;둔각
30;4;146;둔각
90;79;11;직각
6;98;76;둔각
128;34;18;둔각
150;7;23;둔각
31;30;119;둔각
51;109;20;둔각
69;46;65;예각
32;122;26;둔각
15;163;2;둔각
17;154;9;둔각
32;115;33;둔각
4;100;76;둔각
108;41;31;둔각
121;54;5;둔각
98;31;51;둔각
48;22;110;둔각
62;89;29;예각
7;1;172;둔각
134;5;41;둔각
2;159;19;둔각
5;51;124;둔각
24;34;122;둔각
34;116;30;둔각
51;88;41;예각
68;88;24;예각
28;5;147;둔각
71;101;8;둔각
124;39;17;둔각
31;93;56;둔각
50;18;112;둔각
41;19;120;둔각
51;34;95;둔각
127;52;1;둔각
31;26;123;둔각
107;37;36;둔각
59;52;69;예각
28;20;132;둔각
49;96;35;둔각
47;45;88;예각
8;50;122;둔각
37;46;97;둔각
85;61;34;예각
35;97;48;둔각
88;57;35;예각
142;4;34;둔각
101;61;18;둔각
1;117;62;둔각
23;148;9;둔각
71;5;104;둔각
1;141;38;둔각
142;14;24;둔각
47;34;99;둔각
11;28;141;둔각
133;37;10;둔각
81;70;29;예각
91;73;16;둔각
85;4;91;둔각
19;65;96;둔각
25;142;13;둔각
46;77;57;예각
76;6;98;둔각
10;156;14;둔각
16;118;46;둔각
95;71;14;둔각
26;128;26;둔각
90;57;33;직각
28;8;144;둔각
131;18;31;둔각
27;127;26;둔각
67;44;69;예각
146;28;6;둔각
26;84;70;예각
109;31;40;둔각
27;88;65;예각
25;146;9;둔각
17;140;23;둔각
147;9;24;둔각
147;4;29;둔각
40;81;59;예각
52;118;10;둔각
98;59;23;둔각
45;88;47;예각
1;45;134;둔각
56;67;57;예각
71;103;6;둔각
46;55;79;예각
56;43;81;예각
80;26;74;예각
87;83;10;예각
132;30;18;둔각
151;3;26;둔각
105;4;71;둔각
48;124;8;둔각
36;126;18;둔각
34;83;63;예각
63;81;36;예각
73;83;24;예각
40;74;66;예각
41;101;38;둔각
4;83;93;둔각
61;78;41;예각
118;36;26;둔각
91;52;37;둔각
92;59;29;둔각
2;161;17;둔각
40;71;69;예각
7;51;122;둔각
47;50;83;예각
52;17;111;둔각
32;13;135;둔각
5;145;30;둔각
63;101;16;둔각
55;93;32;둔각
78;59;43;예각
134;28;18;둔각
23;141;16;둔각
99;60;21;둔각
9;45;126;둔각
76;56;48;예각
86;40;54;예각
22;11;147;둔각
41;21;118;둔각
20;120;40;둔각
8;87;85;예각
104;19;57;둔각
31;134;15;둔각
31;7;142;둔각
74;63;43;예각
139;19;22;둔각
83;34;63;예각
117;17;46;둔각
9;36;135;둔각
53;22;105;둔각
72;90;18;직각
136;31;13;둔각
21;96;63;둔각
38;52;90;직각
118;51;11;둔각
33;23;124;둔각
13;157;10;둔각
70;62;48;예각
22;25;133;둔각
136;6;38;둔각
36;63;81;예각
112;58;10;둔각
15;71;94;둔각
75;77;28;예각
41;129;10;둔각
88;41;51;예각
39;127;14;둔각
73;27;80;예각
137;26;17;둔각
38;24;118;둔각
6;50;124;둔각
39;43;98;둔각
23;140;17;둔각
32;119;29;둔각
4;101;75;둔각
62;114;4;둔각
148;24;8;둔각
73;69;38;예각
39;107;34;둔각
8;139;33;둔각
3;28;149;둔각
91;41;48;둔각
6;58;116;둔각
136;32;12;둔각
18;151;11;둔각
152;18;10;둔각
20;6;154;둔각
7;105;68;둔각
121;7;52;둔각
42;39;99;둔각
40;33;107;둔각
124;3;53;둔각
35;73;72;예각
10;140;30;둔각
50;104;26;둔각
32;30;118;둔각
13;118;49;둔각
89;57;34;예각
132;7;41;둔각
18;39;123;둔각
23;47;110;둔각
65;63;52;예각
12;145;23;둔각
17;31;132;둔각
64;48;68;예각
77;48;55;예각
28;101;51;둔각
45;20;115;둔각
16;9;155;둔각
70;80;30;예각
64;82;34;예각
72;67;41;예각
119;27;34;둔각
50;4;126;둔각
36;139;5;둔각
77;11;92;둔각
77;94;9;둔각
73;22;85;예각
124;28;28;둔각
45;132;3;둔각
116;55;9;둔각
46;101;33;둔각
95;14;71;둔각
105;64;11;둔각
54;7;119;둔각
53;41;86;예각
38;121;21;둔각
18;2;160;둔각
12;122;46;둔각
133;22;25;둔각
77;41;62;예각
120;28;32;둔각
4;171;5;둔각
24;141;15;둔각
68;105;7;둔각
12;58;110;둔각
73;15;92;둔각
13;20;147;둔각
92;29;59;둔각
86;46;48;예각
156;20;4;둔각
80;83;17;예각
95;61;24;둔각
129;31;20;둔각
68;84;28;예각
7;90;83;직각
89;62;29;예각
75;66;39;예각
61;49;70;예각
79;67;34;예각
22;64;94;둔각
69;24;87;예각
17;58;105;둔각
74;79;27;예각
22;72;86;예각
49;30;101;둔각
75;81;24;예각
41;66;73;예각
119;12;49;둔각
84;73;23;예각
78;4;98;둔각
43;8;129;둔각
7;32;141;둔각
114;4;62;둔각
119;55;6;둔각
101;44;35;둔각
75;3;102;둔각
86;30;64;예각
29;66;85;예각
53;100;27;둔각
65;55;60;예각
67;75;38;예각
74;14;92;둔각
22;6;152;둔각
32;146;2;둔각
34;113;33;둔각
94;44;42;둔각
58;85;37;예각
29;25;126;둔각
19;127;34;둔각
14;154;12;둔각
104;33;43;둔각
78;21;81;예각
111;24;45;둔각
72;62;46;예각
116;27;37;둔각
83;79;18;예각
99;14;67;둔각
78;2;100;둔각
60;23;97;둔각
28;91;61;둔각
89;36;55;예각
71;45;64;예각
52;119;9;둔각
35;141;4;둔각
125;27;28;둔각
118;29;33;둔각
46;48;86;예각
40;101;39;둔각
23;7;150;둔각
8;81;91;둔각
124;17;39;둔각
146;33;1;둔각
113;54;13;둔각
15;12;153;둔각
34;25;121;둔각
10;33;137;둔각
84;55;41;예각
68;46;66;예각
1;75;104;둔각
47;49;84;예각
114;56;10;둔각
107;23;50;둔각
34;131;15;둔각
48;100;32;둔각
26;146;8;둔각
111;59;10;둔각
145;30;5;둔각
5;77;98;둔각
56;11;113;둔각
25;53;102;둔각
98;62;20;둔각
74;54;52;예각
40;28;112;둔각
101;19;60;둔각
33;138;9;둔각
63;78;39;예각
92;54;34;둔각
31;18;131;둔각
6;136;38;둔각
111;62;7;둔각
21;142;17;둔각
30;16;134;둔각
34;105;41;둔각
42;94;44;둔각
23;104;53;둔각
21;20;139;둔각
27;76;77;예각
44;1;135;둔각
13;143;24;둔각
92;15;73;둔각
9;49;122;둔각
1;167;12;둔각
24;62;94;둔각
130;46;4;둔각
169;3;8;둔각
5;94;81;둔각
114;64;2;둔각
106;67;7;둔각
174;2;4;둔각
24;91;65;둔각
37;108;35;둔각
100;16;64;둔각
23;13;144;둔각
45;67;68;예각
128;38;14;둔각
78;76;26;예각
32;18;130;둔각
9;111;60;둔각
28;25;127;둔각
57;11;112;둔각
12;21;147;둔각
84;35;61;예각
65;107;8;둔각
30;111;39;둔각
67;87;26;예각
127;36;17;둔각
63;71;46;예각
38;21;121;둔각
48;13;119;둔각
118;13;49;둔각
55;28;97;둔각
19;63;98;둔각
41;64;75;예각
95;42;43;둔각
102;71;7;둔각
33;74;73;예각
25;147;8;둔각
53;37;90;직각
20;28;132;둔각
36;74;70;예각
100;49;31;둔각
9;122;49;둔각
27;98;55;둔각
169;6;5;둔각
72;79;29;예각
72;36;72;예각
29;114;37;둔각
37;73;70;예각
4;95;81;둔각
104;44;32;둔각
142;33;5;둔각
82;53;45;예각
5;172;3;둔각
31;108;41;둔각
122;19;39;둔각
85;47;48;예각
2;150;28;둔각
111;11;58;둔각
107;18;55;둔각
113;35;32;둔각
31;37;112;둔각
85;56;39;예각
30;74;76;예각
30;30;120;둔각
72;2;106;둔각
76;61;43;예각
91;16;73;둔각
29;37;114;둔각
162;8;10;둔각
35;137;8;둔각
48;51;81;예각
56;25;99;둔각
2;3;175;둔각
145;8;27;둔각
99;1;80;둔각
41;50;89;예각
24;155;1;둔각
82;40;58;예각
16;16;148;둔각
3;173;4;둔각
4;42;134;둔각
3;76;101;둔각
20;18;142;둔각
86;25;69;예각
15;102;63;둔각
149;2;29;둔각
7;149;24;둔각
55;97;28;둔각
23;144;13;둔각
20;16;144;둔각
129;10;41;둔각
80;95;5;둔각
88;3;89;예각
106;66;8;둔각
93;66;21;둔각
75;60;45;예각
9;22;149;둔각
2;115;63;둔각
40;58;82;예각
103;70;7;둔각
123;30;27;둔각
16;70;94;둔각
50;89;41;예각
22;114;44;둔각
148;27;5;둔각
73;84;23;예각
103;3;74;둔각
100;32;48;둔각
111;55;14;둔각
141;18;21;둔각
21;12;147;둔각
4;160;16;둔각
125;34;21;둔각
157;22;1;둔각
23;5;152;둔각
33;78;69;예각
120;13;47;둔각
49;34;97;둔각
2;60;118;둔각
92;61;27;둔각
9;152;19;둔각
133;4;43;둔각
120;11;49;둔각
7;113;60;둔각
78;75;27;예각
13;60;107;둔각
46;34;100;둔각
54;54;72;예각
55;6;119;둔각
11;65;104;둔각
31;50;99;둔각
14;21;145;둔각
128;6;46;둔각
86;62;32;예각
53;88;39;예각
21;84;75;예각
43;18;119;둔각
122;37;21;둔각
43;31;106;둔각
85;38;57;예각
72;66;42;예각
101;9;70;둔각
62;36;82;예각
22;139;19;둔각
10;11;159;둔각
55;48;77;예각
25;7;148;둔각
58;73;49;예각
34;53;93;둔각
106;44;30;둔각
143;4;33;둔각
99;17;64;둔각
3;135;42;둔각
89;77;14;예각
25;77;78;예각
63;110;7;둔각
53;91;36;둔각
30;6;144;둔각
130;19;31;둔각
8;114;58;둔각
100;5;75;둔각
89;64;27;예각
34;28;118;둔각
36;121;23;둔각
60;98;22;둔각
47;123;10;둔각
4;135;41;둔각
116;49;15;둔각
41;34;105;둔각
39;140;1;둔각
123;25;32;둔각
80;8;92;둔각
48;53;79;예각
153;11;16;둔각
44;60;76;예각
95;40;45;둔각
125;14;41;둔각
23;92;65;둔각
22;15;143;둔각
9;34;137;둔각
36;30;114;둔각
67;81;32;예각
65;46;69;예각
78;99;3;둔각
117;27;36;둔각
37;7;136;둔각
58;83;39;예각
13;145;22;둔각
37;2;141;둔각
149;14;17;둔각
97;8;75;둔각
11;91;78;둔각
85;59;36;예각
133;32;15;둔각
60;85;35;예각
49;93;38;둔각
13;111;56;둔각
18;80;82;예각
24;54;102;둔각
102;60;18;둔각
12;160;8;둔각
57;55;68;예각
83;4;93;둔각
18;144;18;둔각
136;22;22;둔각
46;29;105;둔각
96;60;24;둔각
29;120;31;둔각
86;92;2;둔각
64;83;33;예각
59;118;3;둔각
55;11;114;둔각
80;65;35;예각
109;62;9;둔각
10;57;113;둔각
1;10;169;둔각
174;4;2;둔각
50;55;75;예각
31;103;46;둔각
5;95;80;둔각
29;128;23;둔각
53;45;82;예각
15;82;83;예각
6;68;106;둔각
25;13;142;둔각
2;93;85;둔각
63;104;13;둔각
20;100;60;둔각
115;20;45;둔각
13;91;76;둔각
13;37;130;둔각
107;15;58;둔각
38;27;115;둔각
12;80;88;예각
151;12;17;둔각
14;36;130;둔각
115;36;29;둔각
116;22;42;둔각
31;94;55;둔각
55;69;56;예각
11;35;134;둔각
45;87;48;예각
11;61;108;둔각
63;105;12;둔각
124;13;43;둔각
122;54;4;둔각
52;39;89;예각
16;85;79;예각
91;24;65;둔각
63;9;108;둔각
41;117;22;둔각
115;51;14;둔각
132;2;46;둔각
36;85;59;예각
1;25;154;둔각
6;171;3;둔각
5;120;55;둔각
49;68;63;예각
5;160;15;둔각
57;1;122;둔각
51;24;105;둔각
132;18;30;둔각
90;8;82;직각
93;23;64;둔각
68;13;99;둔각
22;137;21;둔각
130;27;23;둔각
159;18;3;둔각
67;106;7;둔각
12;12;156;둔각
119;29;32;둔각
70;28;82;예각
145;11;24;둔각
52;80;48;예각
87;27;66;예각
59;76;45;예각
40;63;77;예각
122;41;17;둔각
4;148;28;둔각
50;40;90;직각
22;82;76;예각
61;101;18;둔각
68;54;58;예각
120;34;26;둔각
119;5;56;둔각
148;17;15;둔각
9;167;4;둔각
47;82;51;예각
12;144;24;둔각
108;51;21;둔각
41;70;69;예각
27;55;98;둔각
56;16;108;둔각
107;52;21;둔각
65;90;25;직각
63;4;113;둔각
109;60;11;둔각
38;34;108;둔각
122;20;38;둔각
2;107;71;둔각
15;152;13;둔각
86;93;1;둔각
136;33;11;둔각
23;86;71;예각
40;48;92;둔각
36;2;142;둔각
104;30;46;둔각
12;67;101;둔각
37;55;88;예각
50;54;76;예각
32;19;129;둔각
11;163;6;둔각
1;92;87;둔각
22;66;92;둔각
2;62;116;둔각
56;80;44;예각
28;97;55;둔각
49;114;17;둔각
92;11;77;둔각
111;52;17;둔각
36;128;16;둔각
23;113;44;둔각
12;46;122;둔각
20;10;150;둔각
75;18;87;예각
71;34;75;예각
49;20;111;둔각
33;93;54;둔각
151;20;9;둔각
85;68;27;예각
60;47;73;예각
117;49;14;둔각
16;54;110;둔각
22;47;111;둔각
34;10;136;둔각
129;42;9;둔각
7;163;10;둔각
106;37;37;둔각
56;91;33;둔각
16;47;117;둔각
75;35;70;예각
51;70;59;예각
122;42;16;둔각
57;93;30;둔각
25;22;133;둔각
45;25;110;둔각
122;27;31;둔각
40;21;119;둔각
62;12;106;둔각
15;59;106;둔각
43;47;90;직각
164;10;6;둔각
98;34;48;둔각
14;146;20;둔각
46;66;68;예각
47;9;124;둔각
99;68;13;둔각
17;57;106;둔각
28;68;84;예각
79;61;40;예각
73;14;93;둔각
32;4;144;둔각
85;85;10;예각
6;139;35;둔각
13;150;17;둔각
3;21;156;둔각
87;63;30;예각
7;47;126;둔각
62;23;95;둔각
35;122;23;둔각
55;59;66;예각
69;18;93;둔각
90;49;41;직각
16;38;126;둔각
162;6;12;둔각
21;80;79;예각
48;106;26;둔각
